"","type","title","subtitle","from","date","link"
"461","Press release","Audiences back in theatres from 1 August","Indoor performances with socially distanced audiences will be able to take place across the country from 1 August  ","Department for Digital, Culture, Media & Sport, The Rt Hon Oliver Dowden CBE MP, and The Rt Hon Boris Johnson MP",2020-07-17,"https://www.gov.uk/government/news/audiences-back-in-theatres-from-1-august"
"462","News story","Chief Medical Officer for England announces 4 further coronavirus cases","Professor Chris Whitty announces 4 further cases of coronavirus.","Department of Health and Social Care",2020-02-10,"https://www.gov.uk/government/news/chief-medical-officer-for-england-announces-four-further-coronavirus-cases"
"463","Press release","Emergency funding to support most vulnerable in society during pandemic","Communities Secretary announces £76 million extra funding to support survivors of domestic abuse, sexual violence and vulnerable children and their families and victims of modern slavery.","Ministry of Housing, Communities & Local Government, Department for Digital, Culture, Media & Sport, Department for Education, Home Office, Ministry of Justice, The Rt Hon Rishi Sunak MP, and The Rt Hon Robert Jenrick MP",2020-05-02,"https://www.gov.uk/government/news/emergency-funding-to-support-most-vulnerable-in-society-during-pandemic"
"464","Written statement to Parliament","Rail emergency measures during the COVID-19 pandemic","We're supporting train operators to make sure our railways stay open for key workers during the coronavirus outbreak.","Department for Transport and The Rt Hon Grant Shapps MP",2020-03-23,"https://www.gov.uk/government/speeches/rail-emergency-measures-during-the-covid-19-pandemic"
"465","News story","Second Pubs Code Declaration ends today","The Declaration put in place to pause and protect Pubs Code rights ceases after 02 December.","Pubs Code Adjudicator",2020-12-02,"https://www.gov.uk/government/news/second-pubs-code-declaration-ends-today"
"466","News story","Forestry Commission operational update: coronavirus","This update provides details on the Forestry Commission's working practices during the coronavirus outbreak.","Forestry Commission",2020-04-03,"https://www.gov.uk/government/news/forestry-commission-operational-update-covid-19"
"467","Press release","Largest COVID-19 antibody testing programme publishes findings on antibody response over time","Findings from Imperial College London and Ipsos MORI show the number of people with antibodies fell by 26.5% over 3 months.","Department of Health and Social Care",2020-10-27,"https://www.gov.uk/government/news/largest-covid-19-antibody-testing-programme-publishes-findings-on-antibody-response-over-time"
"468","Press release","Space company takes to the skies alongside the NHS","The UK Space Agency has today backed a healthcare drone start-up founded by NHS staff, to help in the response to COVID-19","UK Space Agency",2020-10-17,"https://www.gov.uk/government/news/space-company-takes-to-the-skies-alongside-the-nhs"
"469","Press release","World's largest trial of potential coronavirus treatments rolled out across the UK","The largest randomised clinical trial of potential coronavirus (COVID-19) treatments is underway as part of the race to find a treatment.","Department of Health and Social Care",2020-04-03,"https://www.gov.uk/government/news/worlds-largest-trial-of-potential-coronavirus-treatments-rolled-out-across-the-uk"
"470","Press release","More than half a billion pounds to help people return home from hospital","People needing additional follow-on care after being discharged from hospital will be supported by a £588 million fund to cover adult social care or the immediate costs of care in their own home.","Department of Health and Social Care",2020-08-21,"https://www.gov.uk/government/news/more-than-half-a-billion-pounds-to-help-people-return-home-from-hospital"
"471","Oral statement to Parliament","Coronavirus (COVID-19): Health Secretary's statement to Parliament","The Secretary of State for Health and Social Care Matt Hancock updated Parliament on the government's response to coronavirus.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-05-18,"https://www.gov.uk/government/speeches/coronavirus-covid-19-health-secretarys-statement-to-parliament"
"472","Authored article","HMCI commentary: findings from visits in October","Amanda Spielman discusses what we found in our visits to education and children’s social care providers during October.","Ofsted and Amanda Spielman",2020-11-10,"https://www.gov.uk/government/speeches/hmci-commentary-findings-from-visits-in-october"
"473","News story","Free childcare offers to continue during coronavirus closures","The Government will continue to pay funding to local authorities for the free entitlements for two, three and four-year-olds","Department for Education, Vicky Ford MP, and The Rt Hon Gavin Williamson CBE MP",2020-03-17,"https://www.gov.uk/government/news/free-childcare-offers-to-continue-during-coronavirus-closures"
"474","Press release","Multi-million-pound funding package for school transport","New funding for local authorities to ease pressure on public transport as children return in September","Department for Education, Department for Transport, The Rt Hon Grant Shapps MP, and The Rt Hon Gavin Williamson CBE MP",2020-08-08,"https://www.gov.uk/government/news/multi-million-pound-funding-package-for-school-transport"
"475","Press release","Senior civil servant and former lecturer in medical statistics appointed to Joint Biosecurity Centre","Dr Clare Gardiner has been seconded to the role of Director General of the Joint Biosecurity Centre (JBC) at DHSC to take it through to full operating capability. ","Department of Health and Social Care",2020-06-05,"https://www.gov.uk/government/news/senior-civil-servant-and-former-lecturer-in-medical-statistics-appointed-to-joint-biosecurity-centre"
"476","Press release","Business to receive almost £10 billion in rates relief","Businesses expected to receive almost £10 billion in business rate relief  as part of the government’s support for the economy during the coronavirus pandemic.","Ministry of Housing, Communities & Local Government, Simon Clarke MP, and The Rt Hon Robert Jenrick MP",2020-04-22,"https://www.gov.uk/government/news/business-to-receive-almost-10-billion-in-rates-relief"
"477","Press release","Expert partnership to explore and establish Human Challenge studies of COVID-19 in the UK","£33.6 million government investment will back the studies in partnership with Imperial College London, hVIVO and the Royal Free London NHS Foundation Trust.","Department for Business, Energy & Industrial Strategy, Department of Health and Social Care, Lord Bethell of Romford, and The Rt Hon Alok Sharma MP",2020-10-20,"https://www.gov.uk/government/news/expert-partnership-to-explore-and-establish-human-challenge-studies-of-covid-19-in-the-uk"
"478","News story","Insufficient evidence for vitamin D preventing or treating ARTIs","NICE and SACN have reviewed available evidence on vitamin D and the risk of acute respiratory tract infections (ARTIs) and COVID-19.","Public Health England",2020-07-01,"https://www.gov.uk/government/news/insufficient-evidence-for-vitamin-d-preventing-or-treating-artis"
"479","Oral statement to Parliament","Oral Statement: Quarterly report on progress to address COVID-19 health inequalities","The Minister for Equalities’ Oral Statement to the House, on the first quarterly report to the Prime Minister and Health Secretary on progress to understand and tackle COVID-19 disparities experienced by individuals from an ethnic minority background.","Government Equalities Office, Race Disparity Unit, and Kemi Badenoch MP",2020-10-22,"https://www.gov.uk/government/speeches/oral-statement-quarterly-report-on-progress-to-address-covid-19-health-inequalities"
